,satisfaction
0,neutral or dissatisfied
1,neutral or dissatisfied
2,satisfied
3,neutral or dissatisfied
4,satisfied
5,neutral or dissatisfied
6,neutral or dissatisfied
7,satisfied
8,neutral or dissatisfied
9,neutral or dissatisfied
10,neutral or dissatisfied
11,neutral or dissatisfied
12,neutral or dissatisfied
13,satisfied
14,neutral or dissatisfied
15,neutral or dissatisfied
16,satisfied
17,satisfied
18,satisfied
19,neutral or dissatisfied
20,neutral or dissatisfied
21,neutral or dissatisfied
22,neutral or dissatisfied
23,neutral or dissatisfied
24,satisfied
25,neutral or dissatisfied
26,satisfied
27,satisfied
28,neutral or dissatisfied
29,neutral or dissatisfied
30,satisfied
31,neutral or dissatisfied
32,satisfied
33,neutral or dissatisfied
34,neutral or dissatisfied
35,neutral or dissatisfied
36,neutral or dissatisfied
37,neutral or dissatisfied
38,satisfied
39,neutral or dissatisfied
40,satisfied
41,neutral or dissatisfied
42,satisfied
43,satisfied
44,satisfied
45,satisfied
46,neutral or dissatisfied
47,neutral or dissatisfied
48,satisfied
49,neutral or dissatisfied
50,neutral or dissatisfied
51,satisfied
52,satisfied
53,neutral or dissatisfied
54,neutral or dissatisfied
55,satisfied
56,satisfied
57,satisfied
58,neutral or dissatisfied
59,neutral or dissatisfied
60,neutral or dissatisfied
61,satisfied
62,neutral or dissatisfied
63,satisfied
64,satisfied
65,satisfied
66,neutral or dissatisfied
67,satisfied
68,neutral or dissatisfied
69,satisfied
70,satisfied
71,neutral or dissatisfied
72,neutral or dissatisfied
73,neutral or dissatisfied
74,neutral or dissatisfied
75,satisfied
76,neutral or dissatisfied
77,satisfied
78,neutral or dissatisfied
79,neutral or dissatisfied
80,satisfied
81,neutral or dissatisfied
82,neutral or dissatisfied
83,satisfied
84,satisfied
85,satisfied
86,neutral or dissatisfied
87,neutral or dissatisfied
88,satisfied
89,neutral or dissatisfied
90,satisfied
91,satisfied
92,neutral or dissatisfied
93,satisfied
94,satisfied
95,satisfied
96,neutral or dissatisfied
97,neutral or dissatisfied
98,neutral or dissatisfied
99,satisfied
100,neutral or dissatisfied
101,satisfied
102,neutral or dissatisfied
103,neutral or dissatisfied
104,satisfied
105,neutral or dissatisfied
106,neutral or dissatisfied
107,neutral or dissatisfied
108,neutral or dissatisfied
109,neutral or dissatisfied
110,satisfied
111,neutral or dissatisfied
112,neutral or dissatisfied
113,neutral or dissatisfied
114,satisfied
115,neutral or dissatisfied
116,neutral or dissatisfied
117,satisfied
118,neutral or dissatisfied
119,neutral or dissatisfied
120,neutral or dissatisfied
121,neutral or dissatisfied
122,neutral or dissatisfied
123,satisfied
124,neutral or dissatisfied
125,satisfied
126,satisfied
127,neutral or dissatisfied
128,neutral or dissatisfied
129,satisfied
130,satisfied
131,neutral or dissatisfied
132,neutral or dissatisfied
133,neutral or dissatisfied
134,neutral or dissatisfied
135,satisfied
136,satisfied
137,neutral or dissatisfied
138,neutral or dissatisfied
139,satisfied
140,satisfied
141,neutral or dissatisfied
142,neutral or dissatisfied
143,neutral or dissatisfied
144,neutral or dissatisfied
145,neutral or dissatisfied
146,satisfied
147,satisfied
148,satisfied
149,neutral or dissatisfied
150,satisfied
151,neutral or dissatisfied
152,neutral or dissatisfied
153,neutral or dissatisfied
154,satisfied
155,neutral or dissatisfied
156,neutral or dissatisfied
157,neutral or dissatisfied
158,satisfied
159,neutral or dissatisfied
160,satisfied
161,satisfied
162,satisfied
163,neutral or dissatisfied
164,satisfied
165,satisfied
166,neutral or dissatisfied
167,neutral or dissatisfied
168,satisfied
169,satisfied
170,satisfied
171,satisfied
172,neutral or dissatisfied
173,satisfied
174,satisfied
175,neutral or dissatisfied
176,satisfied
177,neutral or dissatisfied
178,satisfied
179,neutral or dissatisfied
180,satisfied
181,neutral or dissatisfied
182,neutral or dissatisfied
183,satisfied
184,neutral or dissatisfied
185,neutral or dissatisfied
186,satisfied
187,neutral or dissatisfied
188,neutral or dissatisfied
189,satisfied
190,neutral or dissatisfied
191,neutral or dissatisfied
192,neutral or dissatisfied
193,neutral or dissatisfied
194,satisfied
195,neutral or dissatisfied
196,satisfied
197,neutral or dissatisfied
198,neutral or dissatisfied
199,neutral or dissatisfied
200,satisfied
201,satisfied
202,neutral or dissatisfied
203,satisfied
204,neutral or dissatisfied
205,neutral or dissatisfied
206,neutral or dissatisfied
207,satisfied
208,neutral or dissatisfied
209,neutral or dissatisfied
210,satisfied
211,neutral or dissatisfied
212,neutral or dissatisfied
213,satisfied
214,neutral or dissatisfied
215,satisfied
216,neutral or dissatisfied
217,neutral or dissatisfied
218,satisfied
219,neutral or dissatisfied
220,neutral or dissatisfied
221,neutral or dissatisfied
222,satisfied
223,neutral or dissatisfied
224,neutral or dissatisfied
225,satisfied
226,neutral or dissatisfied
227,neutral or dissatisfied
228,neutral or dissatisfied
229,neutral or dissatisfied
230,satisfied
231,satisfied
232,satisfied
233,neutral or dissatisfied
234,neutral or dissatisfied
235,satisfied
236,neutral or dissatisfied
237,neutral or dissatisfied
238,neutral or dissatisfied
239,satisfied
240,neutral or dissatisfied
241,satisfied
242,neutral or dissatisfied
243,neutral or dissatisfied
244,neutral or dissatisfied
245,satisfied
246,satisfied
247,neutral or dissatisfied
248,satisfied
249,neutral or dissatisfied
250,neutral or dissatisfied
251,neutral or dissatisfied
252,neutral or dissatisfied
253,satisfied
254,satisfied
255,neutral or dissatisfied
256,neutral or dissatisfied
257,neutral or dissatisfied
258,neutral or dissatisfied
259,satisfied
260,satisfied
261,neutral or dissatisfied
262,neutral or dissatisfied
263,neutral or dissatisfied
264,satisfied
265,neutral or dissatisfied
266,neutral or dissatisfied
267,satisfied
268,satisfied
269,satisfied
270,satisfied
271,neutral or dissatisfied
272,neutral or dissatisfied
273,neutral or dissatisfied
274,neutral or dissatisfied
275,satisfied
276,satisfied
277,satisfied
278,satisfied
279,satisfied
280,neutral or dissatisfied
281,neutral or dissatisfied
282,neutral or dissatisfied
283,neutral or dissatisfied
284,neutral or dissatisfied
285,neutral or dissatisfied
286,neutral or dissatisfied
287,satisfied
288,neutral or dissatisfied
289,neutral or dissatisfied
290,neutral or dissatisfied
291,neutral or dissatisfied
292,satisfied
293,neutral or dissatisfied
294,satisfied
295,satisfied
296,satisfied
297,neutral or dissatisfied
298,satisfied
299,satisfied
300,satisfied
301,satisfied
302,neutral or dissatisfied
303,satisfied
304,neutral or dissatisfied
305,neutral or dissatisfied
306,neutral or dissatisfied
307,satisfied
308,satisfied
309,satisfied
310,neutral or dissatisfied
311,satisfied
312,satisfied
313,satisfied
314,neutral or dissatisfied
315,satisfied
316,neutral or dissatisfied
317,satisfied
318,neutral or dissatisfied
319,satisfied
320,neutral or dissatisfied
321,satisfied
322,neutral or dissatisfied
323,neutral or dissatisfied
324,satisfied
325,neutral or dissatisfied
326,neutral or dissatisfied
327,satisfied
328,neutral or dissatisfied
329,neutral or dissatisfied
330,neutral or dissatisfied
331,satisfied
332,neutral or dissatisfied
333,satisfied
334,neutral or dissatisfied
335,neutral or dissatisfied
336,neutral or dissatisfied
337,neutral or dissatisfied
338,satisfied
339,neutral or dissatisfied
340,neutral or dissatisfied
341,neutral or dissatisfied
342,neutral or dissatisfied
343,neutral or dissatisfied
344,neutral or dissatisfied
345,satisfied
346,neutral or dissatisfied
347,satisfied
348,satisfied
349,satisfied
350,neutral or dissatisfied
351,satisfied
352,neutral or dissatisfied
353,satisfied
354,satisfied
355,satisfied
356,neutral or dissatisfied
357,neutral or dissatisfied
358,satisfied
359,neutral or dissatisfied
360,neutral or dissatisfied
361,satisfied
362,satisfied
363,satisfied
364,satisfied
365,satisfied
366,satisfied
367,satisfied
368,satisfied
369,satisfied
370,satisfied
371,satisfied
372,neutral or dissatisfied
373,satisfied
374,satisfied
375,satisfied
376,satisfied
377,neutral or dissatisfied
378,neutral or dissatisfied
379,satisfied
380,neutral or dissatisfied
381,neutral or dissatisfied
382,neutral or dissatisfied
383,satisfied
384,neutral or dissatisfied
385,satisfied
386,satisfied
387,satisfied
388,satisfied
389,satisfied
390,satisfied
391,neutral or dissatisfied
392,neutral or dissatisfied
393,neutral or dissatisfied
394,neutral or dissatisfied
395,neutral or dissatisfied
396,neutral or dissatisfied
397,neutral or dissatisfied
398,satisfied
399,neutral or dissatisfied
400,satisfied
401,neutral or dissatisfied
402,satisfied
403,satisfied
404,neutral or dissatisfied
405,neutral or dissatisfied
406,satisfied
407,neutral or dissatisfied
408,satisfied
409,satisfied
410,neutral or dissatisfied
411,satisfied
412,satisfied
413,neutral or dissatisfied
414,satisfied
415,satisfied
416,neutral or dissatisfied
417,neutral or dissatisfied
418,neutral or dissatisfied
419,neutral or dissatisfied
420,satisfied
421,satisfied
422,satisfied
423,neutral or dissatisfied
424,neutral or dissatisfied
425,neutral or dissatisfied
426,neutral or dissatisfied
427,satisfied
428,satisfied
429,neutral or dissatisfied
430,satisfied
431,satisfied
432,neutral or dissatisfied
433,satisfied
434,neutral or dissatisfied
435,satisfied
436,neutral or dissatisfied
437,neutral or dissatisfied
438,neutral or dissatisfied
439,neutral or dissatisfied
440,satisfied
441,satisfied
442,neutral or dissatisfied
443,neutral or dissatisfied
444,neutral or dissatisfied
445,neutral or dissatisfied
446,neutral or dissatisfied
447,satisfied
448,satisfied
449,neutral or dissatisfied
450,satisfied
451,satisfied
452,satisfied
453,neutral or dissatisfied
454,satisfied
455,satisfied
456,neutral or dissatisfied
457,neutral or dissatisfied
458,satisfied
459,neutral or dissatisfied
460,satisfied
461,neutral or dissatisfied
462,neutral or dissatisfied
463,satisfied
464,neutral or dissatisfied
465,satisfied
466,neutral or dissatisfied
467,satisfied
468,satisfied
469,neutral or dissatisfied
470,neutral or dissatisfied
471,satisfied
472,neutral or dissatisfied
473,satisfied
474,neutral or dissatisfied
475,satisfied
476,satisfied
477,satisfied
478,satisfied
479,satisfied
480,neutral or dissatisfied
481,satisfied
482,satisfied
483,satisfied
484,neutral or dissatisfied
485,neutral or dissatisfied
486,neutral or dissatisfied
487,satisfied
488,neutral or dissatisfied
489,neutral or dissatisfied
490,neutral or dissatisfied
491,satisfied
492,satisfied
493,neutral or dissatisfied
494,satisfied
495,neutral or dissatisfied
496,neutral or dissatisfied
497,neutral or dissatisfied
498,neutral or dissatisfied
499,neutral or dissatisfied
500,satisfied
501,satisfied
502,neutral or dissatisfied
503,neutral or dissatisfied
504,neutral or dissatisfied
505,neutral or dissatisfied
506,neutral or dissatisfied
507,neutral or dissatisfied
508,neutral or dissatisfied
509,neutral or dissatisfied
510,satisfied
511,satisfied
512,neutral or dissatisfied
513,neutral or dissatisfied
514,satisfied
515,satisfied
516,neutral or dissatisfied
517,satisfied
518,neutral or dissatisfied
519,neutral or dissatisfied
520,neutral or dissatisfied
521,neutral or dissatisfied
522,satisfied
523,neutral or dissatisfied
524,satisfied
525,satisfied
526,neutral or dissatisfied
527,neutral or dissatisfied
528,neutral or dissatisfied
529,neutral or dissatisfied
530,satisfied
531,satisfied
532,neutral or dissatisfied
533,neutral or dissatisfied
534,satisfied
535,satisfied
536,neutral or dissatisfied
537,satisfied
538,neutral or dissatisfied
539,satisfied
540,satisfied
541,satisfied
542,satisfied
543,satisfied
544,satisfied
545,neutral or dissatisfied
546,satisfied
547,satisfied
548,satisfied
549,neutral or dissatisfied
550,satisfied
551,neutral or dissatisfied
552,neutral or dissatisfied
553,neutral or dissatisfied
554,neutral or dissatisfied
555,neutral or dissatisfied
556,satisfied
557,satisfied
558,neutral or dissatisfied
559,neutral or dissatisfied
560,satisfied
561,neutral or dissatisfied
562,neutral or dissatisfied
563,satisfied
564,satisfied
565,satisfied
566,satisfied
567,satisfied
568,satisfied
569,satisfied
570,neutral or dissatisfied
571,neutral or dissatisfied
572,neutral or dissatisfied
573,neutral or dissatisfied
574,neutral or dissatisfied
575,satisfied
576,neutral or dissatisfied
577,satisfied
578,neutral or dissatisfied
579,neutral or dissatisfied
580,satisfied
581,satisfied
582,satisfied
583,satisfied
